,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,MOS
fountain_man_298-1M.yuv,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.037037037
fountain_man_298-2M.yuv,2,2,4,1,2,1,2,3,1,2,1,1,2,2,2,2,1,3,2,3,5,2,1,1,1,2,2,1.962962963
fountain_man_298-5M.yuv,2,5,5,4,3,4,4,5,2,3,3,3,4,4,5,3,2,4,4,4,5,3,2,4,3,3,3,3.555555556
fountain_man_298-8M.yuv,4,4,4,4,4,4,4,5,2,4,3,5,5,5,5,3,3,5,4,4,5,4,3,4,3,4,4,4
fountain_man_298-9M.yuv,4,4,4,5,3,3,5,4,4,4,5,4,4,5,5,2,3,3,4,4,4,4,3,3,3,4,5,3.888888889
fountain_man_298-12M.yuv,4,4,4,5,3,4,3,4,4,3,4,5,5,5,5,2,4,4,4,4,5,5,2,3,4,4,5,4
fountain_man_298-20M.yuv,3,5,5,5,4,5,4,4,4,4,4,4,5,5,4,4,4,5,5,4,5,5,5,4,3,4,5,4.37037037
group_disorder_250.yuv,5,4,5,4,4,3,5,4,4,3,4,4,4,5,5,3,5,4,5,4,5,4,4,4,5,5,4,4.259259259
group_disorder_298-2M.yuv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_disorder_298-4M.yuv,2,2,3,2,3,1,3,3,2,2,2,2,2,3,2,2,1,3,4,3,5,3,1,2,3,3,3,2.481481481
group_disorder_298-7M.yuv,3,4,4,3,4,5,4,5,2,3,5,2,3,3,5,3,2,4,4,3,5,4,2,3,4,3,3,3.518518519
group_disorder_298-8M.yuv,4,2,4,3,3,2,5,4,2,4,3,3,3,5,5,3,3,5,4,3,5,4,2,3,4,4,2,3.481481481
group_disorder_298-12M.yuv,4,4,5,4,4,4,5,4,2,3,4,3,5,4,5,4,2,5,5,4,5,4,4,4,4,5,4,4.074074074
group_disorder_298-16M.yuv,3,4,5,4,4,4,4,5,3,4,4,4,4,5,5,4,3,5,5,4,4,5,5,3,4,5,4,4.185185185
group_disorder_298-20M.yuv,5,5,5,4,5,5,5,5,4,5,5,3,5,5,5,4,4,4,5,3,5,4,4,4,4,5,5,4.518518519
inside_marathon_250.yuv,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,3,4,5,4,2,3,4,4,4.074074074
inside_marathon_298-3M.yuv,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1.37037037
inside_marathon_298-4M.yuv,1,2,3,2,2,1,2,3,1,2,2,1,1,1,3,2,2,2,3,1,2,2,1,1,2,2,2,1.814814815
inside_marathon_298-6M.yuv,3,2,3,4,2,2,3,4,1,4,3,2,1,3,3,2,2,4,3,2,3,4,2,1,3,2,2,2.592592593
inside_marathon_298-8M.yuv,3,3,3,4,4,2,3,3,2,3,3,2,2,3,4,3,3,4,4,2,4,4,2,2,3,3,3,3
inside_marathon_298-10M.yuv,3,3,3,4,3,4,4,4,2,5,5,2,3,2,4,3,3,5,5,4,4,3,2,2,4,5,4,3.518518519
inside_marathon_298-14M.yuv,3,3,4,4,3,4,4,4,2,5,4,3,3,4,3,4,4,4,5,3,5,5,3,1,4,5,3,3.666666667
inside_marathon_298-16M.yuv,4,3,3,4,3,2,5,4,3,4,5,3,3,3,5,4,5,5,5,5,4,3,4,3,3,5,4,3.851851852
mobcal.yuv,5,4,5,5,4,4,5,4,5,4,5,5,4,5,5,5,4,5,5,4,5,5,4,3,5,5,5,4.592592593
mobcal-2_25M.yuv,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,1,3,2,1,1,3,3,2,2.037037037
mobcal-2_5M.yuv,2,2,3,2,2,2,2,3,2,2,2,3,3,4,2,2,2,3,4,4,3,3,2,1,4,3,3,2.592592593
mobcal-3_15M.yuv,2,3,3,3,2,2,3,3,2,3,5,3,2,4,2,2,2,3,4,3,4,3,2,1,4,3,2,2.777777778
mobcal-4M.yuv,3,4,5,4,3,5,4,3,2,3,4,4,5,5,4,2,2,4,4,4,4,4,2,1,4,4,5,3.62962963
mobcal-5M.yuv,3,5,5,5,4,4,5,4,2,3,3,4,3,5,4,2,3,5,5,2,4,4,4,4,4,4,4,3.851851852
mobcal-7M.yuv,3,4,5,3,3,5,5,3,2,3,5,4,5,5,3,3,3,5,4,4,5,5,2,1,5,5,5,3.888888889
mobcal-10M.yuv,4,4,5,4,4,5,5,5,4,4,5,5,5,5,4,4,3,5,5,4,4,5,3,1,5,5,5,4.333333333
new_parkrun_250.yuv,4,4,4,4,3,5,5,4,3,4,4,4,5,5,4,5,4,5,5,2,5,5,4,4,4,5,5,4.259259259
new_parkrun_298-2M.yuv,2,1,3,1,2,1,2,3,1,2,3,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,1.814814815
new_parkrun_298-4M.yuv,3,4,4,2,3,3,4,3,3,2,4,2,3,4,4,2,2,3,4,3,3,3,3,3,3,3,4,3.111111111
new_parkrun_298-6M.yuv,5,4,4,3,4,2,4,4,4,4,5,4,4,4,4,3,2,4,4,4,3,4,3,4,4,4,5,3.814814815
new_parkrun_298-8M.yuv,4,4,4,3,4,4,4,3,4,4,3,3,3,5,5,4,4,5,5,4,5,4,3,4,4,5,5,4.037037037
new_parkrun_298-10M.yuv,4,4,5,3,3,4,5,4,4,3,4,4,5,4,5,4,4,4,5,4,5,4,5,4,4,5,4,4.185185185
new_parkrun_298-14M.yuv,3,4,4,4,4,3,4,3,3,3,5,4,5,4,5,4,3,4,5,4,4,4,4,2,5,5,5,3.962962963
new_parkrun_298-20M.yuv,4,4,4,4,4,5,5,3,3,5,5,3,4,5,5,4,3,5,5,3,5,5,4,4,4,5,4,4.222222222
parkrun.yuv,5,5,4,4,4,4,5,5,5,5,5,5,5,4,5,3,4,5,5,4,5,5,5,3,4,5,5,4.555555556
parkrun-8M.yuv,2,2,3,2,2,1,3,3,1,2,2,2,2,2,3,2,1,2,3,2,3,2,2,1,3,4,1,2.148148148
parkrun-12M.yuv,3,3,3,3,3,2,4,3,2,2,2,3,2,4,4,2,2,2,3,3,3,3,1,1,4,3,2,2.666666667
parkrun-16M.yuv,3,4,3,3,3,2,3,4,2,3,3,3,3,2,3,3,3,3,5,3,4,3,2,3,4,4,3,3.111111111
parkrun-18M.yuv,4,4,4,4,3,4,3,3,2,4,4,4,4,4,4,4,3,4,4,4,4,3,2,2,4,3,5,3.592592593
parkrun-20M.yuv,3,4,4,4,4,3,4,3,3,3,3,3,3,4,5,2,3,4,5,5,4,4,5,3,4,4,3,3.666666667
parkrun-24M.yuv,4,5,4,4,4,4,4,4,2,3,5,5,4,4,5,5,3,4,4,4,5,4,4,3,4,5,5,4.111111111
parkrun-28M.yuv,5,5,5,4,4,5,4,3,4,4,4,4,4,4,4,3,3,4,5,4,4,4,4,3,4,4,3,4
rendezvous_250.yuv,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5,5,4.703703704
rendezvous_298-4M.yuv,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.074074074
rendezvous_298-6M.yuv,2,2,2,2,1,1,2,3,1,1,1,2,1,1,1,1,1,2,4,2,2,1,1,1,2,2,2,1.62962963
rendezvous_298-8M.yuv,2,3,5,3,2,1,3,4,2,4,2,3,2,2,4,2,2,4,5,3,3,3,1,1,3,3,3,2.777777778
rendezvous_298-10M.yuv,3,4,3,3,4,2,5,3,2,3,3,2,2,5,5,2,2,3,4,3,4,3,1,2,3,5,3,3.111111111
rendezvous_298-14M.yuv,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,5,4,4,4,3,5,4,4,5,3.925925926
rendezvous_298-18M.yuv,4,4,4,5,4,3,5,4,3,4,4,3,3,4,5,4,3,4,5,4,5,3,5,5,3,5,5,4.074074074
rendezvous_298-24M.yuv,5,5,4,4,5,3,5,5,2,5,5,3,4,5,5,3,4,5,5,3,4,4,5,5,3,5,5,4.296296296
shields.yuv,5,4,5,4,3,4,5,4,5,5,4,3,4,4,5,5,3,5,5,4,5,4,5,2,4,5,4,4.259259259
shields-2_25M.yuv,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,1,1,1,3,3,1,1.814814815
shields-3M.yuv,2,1,3,3,4,2,3,2,2,2,1,2,2,2,3,2,1,2,3,3,3,2,2,1,3,3,2,2.259259259
shields-4M.yuv,3,2,3,2,2,2,4,3,2,3,2,2,3,5,4,2,2,3,4,5,4,3,2,1,4,3,4,2.925925926
shields-5M.yuv,2,4,4,3,4,2,3,4,2,2,4,3,3,3,4,3,2,3,4,4,4,4,3,1,4,3,3,3.148148148
shields-6M.yuv,3,3,4,3,3,4,5,4,2,4,4,3,3,5,4,2,2,4,4,3,4,4,5,2,4,4,4,3.555555556
shields-7M.yuv,3,4,4,4,3,4,5,5,2,3,4,3,3,5,5,3,2,5,4,5,4,5,4,2,4,4,4,3.814814815
shields-8M.yuv,4,4,5,4,3,3,4,4,2,3,4,4,4,5,3,2,2,5,4,4,5,4,4,2,5,5,5,3.814814815
stockholm_travel_250.yuv,4,5,5,5,4,5,5,5,4,5,5,4,4,5,5,3,4,5,5,5,5,5,5,4,4,5,5,4.62962963
stockholm_travel_298-1M.yuv,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,3,2,1,1.407407407
stockholm_travel_298-4M.yuv,3,4,5,5,5,3,5,4,3,4,4,4,3,4,3,3,3,4,5,4,5,4,4,4,5,5,4,4.037037037
stockholm_travel_298-6M.yuv,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,3,5,5,4,5,4,5,4,5,5,5,4.518518519
stockholm_travel_298-8M.yuv,3,5,5,5,4,3,4,3,5,4,5,4,3,4,5,3,4,4,4,4,5,4,3,4,4,4,5,4.074074074
stockholm_travel_298-10M.yuv,4,4,4,5,5,5,5,5,5,4,5,3,4,5,5,5,4,5,5,4,5,5,5,3,5,5,5,4.592592593
stockholm_travel_298-16M.yuv,4,4,4,4,4,4,4,5,4,4,5,5,4,5,5,4,3,4,5,5,5,4,5,5,5,4,5,4.407407407
stockholm_travel_298-20M.yuv,4,4,4,5,4,5,5,5,5,3,5,4,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,4.592592593
stockholm.yuv,4,4,4,4,3,3,5,3,4,4,5,5,2,5,5,3,4,5,5,3,4,5,3,2,4,5,4,3.962962963
stockholm-1_625M.yuv,2,3,2,2,2,1,3,3,2,2,2,2,2,2,2,2,1,3,2,2,3,1,1,1,3,3,2,2.074074074
stockholm-1_875M.yuv,1,3,2,3,3,1,3,2,2,2,1,2,2,2,2,2,1,2,3,2,3,2,2,1,3,2,2,2.074074074
stockholm-2_25M.yuv,2,2,3,3,4,2,4,2,2,2,3,3,1,2,3,2,2,3,4,3,3,4,3,1,4,3,3,2.703703704
stockholm-3M.yuv,3,4,4,3,3,3,3,3,2,3,4,2,3,4,4,3,2,4,4,2,4,3,2,1,4,3,3,3.074074074
stockholm-3_6M.yuv,3,4,5,4,3,3,3,3,2,3,5,3,2,2,5,3,2,4,5,3,4,3,3,1,4,3,3,3.259259259
stockholm-4M.yuv,3,5,3,4,2,2,5,2,3,3,4,3,2,3,5,2,2,4,4,3,4,4,3,3,4,4,4,3.333333333
stockholm-6M.yuv,4,4,4,4,3,3,5,4,2,5,4,3,3,5,5,3,4,4,4,4,4,3,4,3,4,4,5,3.851851852
tree_pan_250.yuv,3,4,5,4,5,3,5,5,4,4,5,3,5,5,3,5,5,5,5,5,5,5,5,3,4,5,4,4.407407407
tree_pan_298-1_25M.yuv,1,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,3,1,2,1,1,1,2,1,1,1.444444444
tree_pan_298-1_5M.yuv,2,2,3,2,2,1,3,3,2,2,2,2,2,4,2,3,2,3,4,4,3,2,2,1,3,3,2,2.444444444
tree_pan_298-2M.yuv,3,3,3,3,3,2,4,2,2,3,3,2,3,5,3,3,3,3,4,3,4,2,2,1,4,3,4,2.962962963
tree_pan_298-2_5M.yuv,3,4,5,4,4,4,4,4,4,4,4,2,4,5,3,4,2,4,5,4,4,3,3,2,4,4,4,3.740740741
tree_pan_298-3M.yuv,4,4,4,3,4,4,4,4,2,3,5,3,4,5,5,3,3,5,4,4,4,4,5,2,3,5,4,3.851851852
tree_pan_298-5M.yuv,4,4,4,4,4,5,5,3,5,5,4,4,5,5,4,4,4,5,5,3,5,3,5,4,4,5,5,4.333333333
tree_pan_298-8M.yuv,4,4,5,4,3,5,5,4,4,5,5,3,5,5,5,4,4,5,5,5,5,4,5,5,4,5,4,4.481481481
ulriksdals_250.yuv,5,5,5,4,3,5,5,4,5,4,5,4,5,5,5,4,4,5,5,4,5,5,5,5,4,5,5,4.62962963
ulriksdals_298-1M.yuv,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1.259259259
ulriksdals_298-2M.yuv,2,2,3,2,3,1,2,2,2,2,2,1,2,2,2,1,1,3,3,2,2,3,1,1,2,2,1,1.925925926
ulriksdals_298-4M.yuv,3,3,4,4,4,3,4,4,2,4,4,3,3,4,3,3,2,4,4,2,4,4,2,4,4,3,3,3.37037037
ulriksdals_298-6M.yuv,3,5,4,4,5,3,5,4,4,4,5,3,4,5,4,2,2,4,5,3,5,4,4,4,4,4,3,3.925925926
ulriksdals_298-8M.yuv,4,2,4,3,4,2,4,4,2,3,4,2,5,4,3,4,3,5,4,4,4,3,4,2,4,4,3,3.481481481
ulriksdals_298-12M.yuv,3,3,4,4,4,3,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,4,2,3,4,4,4,3.555555556
ulriksdals_298-16M.yuv,4,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,4.666666667
